"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Seregnano ""Arcobaleno""";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Via Alla Villa Wolf - Rovere, 4 38045";CIVEZZANO;0461/858736;0461/493495;scuolainfanzia.seregnano@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 6";"Scuola dell'Infanzia di Zambana ""Girotondo""";;"A carattere statale/provinciale";;;"VALENTINA RIZZON";"Via Conti Spaur, 2 38010";"TERRE D'ADIGE";0461/241060;0461/499283;scuolainfanzia.zambana@scuole.provincia.tn.it;;circolo.coordinamento06@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Canal San Bovo ""Lausen""";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Localita Lausen, 13 38050";"CANAL SAN BOVO";0439/718979;"0461 491976";scuolainfanzia.canalsanbovo@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Rizzolaga di Pinè ""Raggio di sole""";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Frazione Rizzolaga, 94 38042";"BASELGA DI PINE'";0461/557629;0461/493495;scuolainfanzia.rizzolaga@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 6";"Scuola dell'Infanzia di Trento  Meano  ""M. R. Giobatta Partelloni""";;"A carattere statale/provinciale";;;"VALENTINA RIZZON";"Via Delle Sugarine, 38 38121";TRENTO;0461/991187;0461/499283;scuolainfanzia.meano@scuole.provincia.tn.it;;circolo.coordinamento06@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Centa San Nicolò";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via dei Campi - Centa San Nicolo, 14 38049";"ALTOPIANO DELLA VIGOLANA";0461/722120;"0461 491976";scuolainfanzia.centa@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Tenna ""Il sentiero""";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Venezia, 1 38050";TENNA;0461/707635;"0461 491976";scuolainfanzia.tenna@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 6";"Scuola dell'Infanzia di Trento  Martignano  ""Arcobaleno""";;"A carattere statale/provinciale";;;"VALENTINA RIZZON";"Via Alla Formigheta, 4 38121";TRENTO;0461/830411;0461/499283;scuolainfanzia.martignano@scuole.provincia.tn.it;;circolo.coordinamento06@provincia.tn.it;;
"Circolo di coordinamento n. 6";"Scuola dell'Infanzia di Trento  Solteri  ""Il Quadrifoglio""";;"A carattere statale/provinciale";;;"VALENTINA RIZZON";"Via Dei Solteri, 24 38121";TRENTO;0461/821343;0461/499283;scuolainfanzia.solteri@scuole.provincia.tn.it;;circolo.coordinamento06@provincia.tn.it;;
"Circolo di coordinamento n. 6";"Scuola dell'Infanzia di Grumes";;"A carattere statale/provinciale";;;"VALENTINA RIZZON";"Piazza Municipio - Grumes, 10 38030";ALTAVALLE;0461/685022;0461/499283;scuolainfanzia.grumes@scuole.provincia.tn.it;;circolo.coordinamento06@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Civezzano";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Via Telvana, 4 38045";CIVEZZANO;0461/858481;0461/493495;scuolainfanzia.civezzano@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 6";"Scuola dell'Infanzia di Trento  Melta di Gardolo  ""Il girasole""";;"A carattere statale/provinciale";;;"VALENTINA RIZZON";"Localita Melta, 14 38121";TRENTO;0461/991622;0461/499283;scuolainfanzia.melta@scuole.provincia.tn.it;;circolo.coordinamento06@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Capriana ""Maddalena Lazzeri""";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Piazza Scuole, 3 38030";CAPRIANA;0462/816377;0461/493495;scuolainfanzia.capriana@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Vattaro";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Giardino - Vattaro, 7 38049";"ALTOPIANO DELLA VIGOLANA";0461/848066;"0461 491976";scuolainfanzia.vattaro@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di S. Orsola ""Il girotondo""";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Localita Pintarei, 9 38050";"SANT'ORSOLA TERME";0461/551163;0461/493495;scuolainfanzia.santorsola@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Piazze";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Via Vittorino da Feltre, 24 38043";BEDOLLO;0461/556518;0461/493495;scuolainfanzia.bedollo@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Bosentino";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Alle Scuole - Bosentino, 12 38049";"ALTOPIANO DELLA VIGOLANA";0461/845133;"0461 491976";scuolainfanzia.bosentino@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Temanza, 4 38051";"BORGO VALSUGANA";"0461 491980";"0461 491976";circolo.coordinamento02@provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Imer";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Nazionale, 71 38050";IMER;0439/67668;"0461 491976";scuolainfanzia.imer@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Casatta";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Frazione Casatta, 54 38040";VALFLORIANA;0462/910249;0461/493495;scuolainfanzia.casatta@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Molina di Fiemme";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Via Segherie, 64/C 38030";"CASTELLO-MOLINA DI FIEMME";0462/230696;0461/493495;scuolainfanzia.molina@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Fierozzo ""Himblring""";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Maso Ronca, 9 38050";"FIEROZZO - VLARÖTZ";0461/540044;0461/493495;scuolainfanzia.fierozzo@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Bieno";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Ammiraglio Bettolo, 21 38050";BIENO;0461/596247;"0461 491976";scuolainfanzia.bieno@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Castello Tesino";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Venezia, 16/A 38053";"CASTELLO TESINO";0461/593023;"0461 491976";scuolainfanzia.castellotesino@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 1";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Viale Dante, 5 38057";"PERGINE VALSUGANA";0461/493491;0461/493495;circolo.coordinamento01@provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 6";"Scuola dell'Infanzia di Giovo  ""Il Pellicano""";;"A carattere statale/provinciale";;;"VALENTINA RIZZON";"Via Delle Scuole, 9 38030";GIOVO;0461/684978;0461/499283;scuolainfanzia.paludigiovo@scuole.provincia.tn.it;;circolo.coordinamento06@provincia.tn.it;;
"Scuola dell'infanzia di Taio ""Asilo infantile di Taio ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"UTE PANCHER";"Via Edison - Taio, 3 38012";PREDAIA;0463-468269;;taio.presidente@fpsm.tn.it;;taio.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento ""G. B. Zanella ODV""";"Scuola dell'infanzia di Trento ""G. B. Zanella ODV""";;Paritaria/equiparata;;;"ALESSANDRA BIANCHI";"Via Gar, 1 38122";TRENTO;0461-233744;0461-233744;segreteria@gbzanella.it;;;;
"Scuola dell'infanzia di Taio ""Asilo infantile di Taio ODV""";"Scuola dell'infanzia di Taio ""Asilo infantile di Taio ODV""";;Paritaria/equiparata;;;"UTE PANCHER";"Via Edison - Taio, 3 38012";PREDAIA;0463-468269;;taio.presidente@fpsm.tn.it;;taio.segretario@fpsm.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Levico Terme ""Taita Marcos""";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Monsignor Caproni, 1 38056";"LEVICO TERME";0461/710298;"0461 491976";scuolainfanzia.levico@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Scuola dell'infanzia di Albiano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via S Antonio, 22 38041";ALBIANO;0461/689486;"0461 723325";albiano.presidente@fpsm.tn.it;;albiano.segretario@fpsm.tn.it;;
"Circolo di coordinamento n. 4";"Scuola dell'Infanzia di Trento S.Giuseppe ""Maso Ginocchio - Collodi""";;"A carattere statale/provinciale";;;"RITA FERENZENA";"Via Giusti, 56 38122";TRENTO;0461/930042;0461/496950;scuolainfanzia.sangiuseppe@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Scuola dell'Infanzia di Trento ""Antonio Tambosi ODV""";"Scuola dell'Infanzia di Trento ""Antonio Tambosi ODV""";;Paritaria/equiparata;;;;"Via Francesco Ferruccio, 4 38122";TRENTO;0461/237392;0461-237392;scuolamaterna.tambosi@gmail.com;;;;
"Scuola dell'Infanzia di Lizzana ""Asilo infantile di Lizzana ODV""";"Scuola dell'Infanzia di Lizzana ""Asilo infantile di Lizzana ODV""";;Paritaria/equiparata;;;;"Via Brigata Mantova, 1 38068";ROVERETO;0464-433395;;lizzana.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Serso ""Don Ochner ODV"" ";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via al Casteler, 1 38057";"PERGINE VALSUGANA";"0461 533843";;serso.asilo@gmail.com;;scuola.donochner@email.it;;
"Scuola dell'Infanzia di Serso ""Don Ochner ODV"" ";"Scuola dell'infanzia di Serso ""Don Ochner ODV""";;Paritaria/equiparata;;;;"Via al Casteler, 1 38057";"PERGINE VALSUGANA";"0461 533843";;serso.asilo@gmail.com;;scuola.donochner@email.it;;
"Scuola dell'Infanzia di Lizzanella ""Asilo infantile di Lizzanella ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Corso Verona, 109 38068";ROVERETO;0464/432307;0464-400420;lizzanella.materna@associazionecoesi.com;;;;
"Scuola dell'infanzia di Rovereto ""Clementino Vannetti ODV""";"Scuola dell'Infanzia di Rovereto ""Clementino Vannetti ODV""";;Paritaria/equiparata;;;;"Via S Maria, 58 38068";ROVERETO;"0464 420061";;asilovannetti@gmail.com;;;;
"Circolo di coordinamento n. 3";"Scuola dell'Infanzia di Trento Villazzano 3 ""L'officina degli gnomi""";;"A carattere statale/provinciale";;;"CHIARA NADALON";"Via Conci, 10 38123";TRENTO;0461/920367;0461/497257;scuolainfanzia.villazzano@scuole.provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;
"Scuola dell'Infanzia di Lavis "" Madre Maddalena di Canossa ODV""";"Scuola dell'Infanzia di Lavis  ""Madre Maddalena di Canossa ODV""";;Paritaria/equiparata;;;;"Via Dei Colli, 4 38015";LAVIS;"0461 240366";0461-249078;lavis.materna@associazionecoesi.com;;;;
"Scuola dell'infanzia di Villazzano";"Scuola dell'Infanzia di Villazzano";;Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via Giordano, 15 38123";TRENTO;0461/920382;;villazzano.segretario@fpsm.tn.it;;villazzano.segretario@fpsm.tn.it;;
"Scuola dell'Infanzia di Lizzanella ""Asilo infantile di Lizzanella ODV""";"Scuola dell'Infanzia di Lizzanella ""Asilo Infantile di Lizzanella ODV""";;Paritaria/equiparata;;;;"Corso Verona, 109 38068";ROVERETO;0464/432307;0464-400420;lizzanella.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Trento ""Sacro Cuore ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SARA TONAZZOLI";"Piazza S Teresa Verzeri, 4 38122";TRENTO;0461/981465;;materna@istitutosacrocuore.it;;;;
"Scuola dell'infanzia di Aldeno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SANDRA CIAPPI";"Via XXV Aprile, 5 38060";ALDENO;0461/842597;;aldeno.presidente@fpsm.tn.it;;aldeno.segretario@fpsm.tn.it;;
"Scuola dell'Infanzia di Lavis "" Madre Maddalena di Canossa ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via Dei Colli, 4 38015";LAVIS;0461/240366;0461-249078;lavis.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Breguzzo - Bondo ""Giuseppina Bonazza ODV""";"Scuola dell'Infanzia di Breguzzo - Bondo  ""Giuseppina Bonazza ODV""";;Paritaria/equiparata;;;;"Via Marconi - Breguzzo, 5 38087";"SELLA GIUDICARIE";0465-901550;;breguzzo.bondo.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Breguzzo - Bondo ""Giuseppina Bonazza ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via Marconi - Breguzzo, 5 38087";"SELLA GIUDICARIE";0465-901550;;breguzzo.bondo.materna@associazionecoesi.com;;;;
"Scuola dell'infanzia di Ranzo ""Amici scuola infanzia di Ranzo ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via al Castel Romano - Ranzo - Vezzano, 29 38070";VALLELAGHI;"338 7970838";;ranzo.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Marco - Rovereto ""G. e A. Rosmini - Serbati ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via Alla Stazione, 2 38068";ROVERETO;0464/665395;0464/665395;marco.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Daone ""Asilo infantile di Daone ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DORIS LOSA";"Via Re di Castello - Daone, 57 38080";VALDAONE;0465/674060;;daone.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Riva ""giardino di Infanzia ODV""";"Scuola dell'Infanzia di Riva  ""Giardino""";;Paritaria/equiparata;;;;"Viale Roma, 32 38066";"RIVA DEL GARDA";0464/552360;0464-560456;rivagiardinodinfanzia@gmail.com;;;;
"Scuola dell'Infanzia di Trento ""S. Antonio ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via Adamello, 2 38122";TRENTO;0461/911027;0461/394133;s.antonio.materna@associazionecoesi.com;;;;
"Scuola dell'infanzia di Albiano";"Scuola dell'Infanzia di Albiano";;Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via S Antonio, 22 38041";ALBIANO;0461/689486;"0461 723325";albiano.presidente@fpsm.tn.it;;albiano.segretario@fpsm.tn.it;;
"Scuola dell'Infanzia di Marco - Rovereto ""G. e A. Rosmini - Serbati ODV""";"Scuola dell'infanzia di Marco-Rovereto ""G. e A. Rosmini-Serbati ODV""";;Paritaria/equiparata;;;;"Via Alla Stazione, 2 38068";ROVERETO;0464/665395;0464/665395;marco.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Daone ""Asilo infantile di Daone ODV""";"Scuola dell'Infanzia di Daone ""Asilo infantile di Daone ODV""";;Paritaria/equiparata;;;"DORIS LOSA";"Via Re di Castello - Daone, 57 38080";VALDAONE;0465/674060;;daone.materna@associazionecoesi.com;;;;
"Scuola dell'infanzia di Rovereto ""Clementino Vannetti ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via S Maria, 58 38068";ROVERETO;"0464 420061";;asilovannetti@gmail.com;;;;
"Scuola dell'Infanzia di Trento ""Sacro Cuore ODV""";"Scuola dell'Infanzia di Trento ""Sacro Cuore ODV""";;Paritaria/equiparata;;;"SARA TONAZZOLI";"Piazza S Teresa Verzeri, 4 38122";TRENTO;0461/981465;;materna@istitutosacrocuore.it;;;;
"Scuola dell'Infanzia di Lizzana ""Asilo infantile di Lizzana ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via Brigata Mantova, 1 38068";ROVERETO;0464/433395;;lizzana.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Riva ""giardino di Infanzia ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Viale Roma, 32 38066";"RIVA DEL GARDA";0464/552360;0464-560456;rivagiardinodinfanzia@gmail.com;;;;
"Scuola dell'Infanzia di Trento ""Antonio Tambosi ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via Francesco Ferruccio, 4 38122";TRENTO;0461/237392;0461-237392;scuolamaterna.tambosi@gmail.com;;;;
"Scuola dell'Infanzia di Trento ""S. Antonio ODV""";"Scuola dell'Infanzia di Trento ""S. Antonio ODV""";;Paritaria/equiparata;;;;"Via Adamello, 2 38122";TRENTO;0461/911027;0461/394133;s.antonio.materna@associazionecoesi.com;;;;
"Circolo di coordinamento n. 8";"Scuola dell'Infanzia di Bezzecca - A. Cis";;"A carattere statale/provinciale";;;"MARIA TERESA SCARPELLINI";"Via Generale Dalla Chiesa - Bezzecca, 2 38067";LEDRO;" 0464/592840";0461/493389;scuolainfanzia.bezzecca@scuole.provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;
"Circolo di coordinamento n. 8";"Scuola dell'Infanzia di Darzo ""L'albero delle castagne""";;"A carattere statale/provinciale";;;"MARIA TERESA SCARPELLINI";"Via S Giovanni Nepomuceno, 11 38089";STORO;0465/685244;0461/493389;scuolainfanzia.darzo@scuole.provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;
"Circolo di coordinamento n. 8";"Scuola dell'Infanzia di Dro";;"A carattere statale/provinciale";;;"MARIA TERESA SCARPELLINI";"Via S Antonio, 10 38074";DRO;0464/504211;0461/493389;scuolainfanzia.dro@scuole.provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;
"Circolo di coordinamento n. 8";"Scuola dell'Infanzia di Preore";;"A carattere statale/provinciale";;;"MARIA TERESA SCARPELLINI";"Via Serafini - Preore, 92 38095";"TRE VILLE";0465/321393;0461/493389;scuolainfanzia.preore@scuole.provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;
"Circolo di coordinamento n. 8";"Scuola dell'Infanzia di Romarzollo";;"A carattere statale/provinciale";;;"MARIA TERESA SCARPELLINI";"Via Fossa, 21 38062";ARCO;0464/532848;0461/493389;scuolainfanzia.arco@scuole.provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;
"Circolo di coordinamento n. 8";"Scuola dell'Infanzia di Tiarno di Sopra";;"A carattere statale/provinciale";;;"MARIA TERESA SCARPELLINI";"Piazza Milin - Tiarno di Sopra, 13 38067";LEDRO;0464/592850;0461/493389;scuolainfanzia.tiarnodisopra@scuole.provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;
"Circolo di coordinamento n. 8";"Scuola dell'Infanzia di Zuclo Bolbeno";;"A carattere statale/provinciale";;;"MARIA TERESA SCARPELLINI";"Via Fucina - Zuclo, 12 38079";"BORGO LARES";0465/322790;0461/493389;scuolainfanzia.zuclo@scuole.provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;
"Scuola dell'Infanzia di Tione di Trento ""Don Giovanni Failoni ODV""";"Scuola dell'Infanzia di Tione di Trento ""Don Giovanni Failoni""";;Paritaria/equiparata;;;;"Piazza Battisti, 4 38079";"TIONE DI TRENTO";"0465 321314";0461/329714;tione.materna@associazionecoesi.com;;;;
"Circolo di coordinamento n. 8";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"MARIA TERESA SCARPELLINI";"Via Circonvallazione, 65 38079";"TIONE DI TRENTO";0461/493385;0461/493389;circolo.coordinamento08@provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;
"Scuola dell'Infanzia di Tione di Trento ""Don Giovanni Failoni ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Piazza Battisti, 4 38079";"TIONE DI TRENTO";0461/321314;0461/329714;tione.materna@associazionecoesi.com;;;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Novaledo ""Don Evaristo Forrer""";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Valle, 4 38050";NOVALEDO;0461/721100;"0461 491976";scuolainfanzia.novaledo@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Coordinamento pedagogico scuole provinciali dell'infanzia ladine";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"TATIANA SORAPERRA";"Strada Giuseppe Soraperra - Pozza di Fassa, 6 38036";"SAN GIOVANNI DI FASSA - SEN JAN";0462/760340;0462/760001;coordinamento.scuoleladine@provincia.tn.it;;coordinamento.scuoleladine@provincia.tn.it;;
"Coordinamento pedagogico scuole provinciali dell'infanzia ladine";"Scuola dell'Infanzia di Pera di Fassa ""don Edy Cinzol""";;"A carattere statale/provinciale";;;"TATIANA SORAPERRA";"Strada Tita Piaz - Pozza di Fassa, 13 38036";"SAN GIOVANNI DI FASSA - SEN JAN";0462/764828;0462/760001;scuolainfanzia.pera@scuole.provincia.tn.it;;coordinamento.scuoleladine@provincia.tn.it;;
"Scuola dell'Infanzia di Lodrone ODV";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Salita Alla Bastia, 2 38089";STORO;"0465 685253";;lodrone.materna@associazionecoesi.com;;;;
"Scuola dell'Infanzia di Lodrone ODV";"Scuola dell'Infanzia di Lodrone ODV";;Paritaria/equiparata;;;;"Salita Alla Bastia, 2 38089";STORO;0465/685253;;lodrone.materna@associazionecoesi.com;;;;
"Circolo di coordinamento n. 2";"Scuola dell'infanzia di Caldonazzo ""Maria Bambina""";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Asilo, 1 38052";CALDONAZZO;" 0461 724658";"0461 491976";scuolainfanzia.caldonazzo@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Scuola dell'infanzia di Ranzo ""Amici scuola infanzia di Ranzo ODV""";"Scuola dell'infanzia di Ranzo ""Amici scuola infanzia di Ranzo ODV""";;Paritaria/equiparata;;;;"Via al Castel Romano - Ranzo - Vezzano, 29 38070";VALLELAGHI;"338 7970838";;ranzo.materna@associazionecoesi.com;;;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di S.Michele all' Adige  ""Il Germoglio""";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via della Prepositura, 2 38098";"SAN MICHELE ALL'ADIGE";0461/662154;0461/494334;scuolainfanzia.sanmichele@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Scuola dell'infanzia di Torcegno ODV";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Della Fontana, 15 38050";TORCEGNO;0461-760796;;torcegno.presidente@fpsm.tn.it;;torcegno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Torcegno ODV";"Scuola dell'Infanzia di Torcegno ODV";;Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Della Fontana, 15 38050";TORCEGNO;0461-760796;;torcegno.presidente@fpsm.tn.it;;torcegno.segretario@fpsm.tn.it;;
"ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA";"Scuola dell'Infanzia di Nosellari Folgaria";;"A carattere statale/provinciale";"MORENA MANFRIN";;;"Via Prati, 35 38064";FOLGARIA;0464/787010;;scuolainfanzia.nosellari@scuole.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;
"ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA";"Scuola dell'Infanzia di Folgaria";;"A carattere statale/provinciale";"MORENA MANFRIN";;;"Via Roma, 30 38064";FOLGARIA;0464/721362;;scuolainfanzia.folgaria@scuole.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;
"ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"MORENA MANFRIN";;;"Piazza Marconi, 85 38064";FOLGARIA;0464/721283;;ic.folgaria-lavarone@pec.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;TNIC804002
"ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA";"Scuola dell'Infanzia di Lavarone ""Casa dell'Arcobaleno""";;"A carattere statale/provinciale";"MORENA MANFRIN";;;"Frazione Gionghi,   38046";LAVARONE;0464/783098;;scuolainfanzia.lavarone@scuole.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;
"ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA";"Scuola dell'Infanzia di Luserna";;"A carattere statale/provinciale";"MORENA MANFRIN";;;"Via Mazzini - Prundle, 7 38040";"LUSERNA - LUSÉRN";0464/789608;;scuolainfanzia.luserna@scuole.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;
"Scuola dell'infanzia di Ala";;"Scuola dell'infanzia";Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via De Ferrari, 1 38061";ALA;0464/671113;"0464 674717";ala.presidente@fpsm.tn.it;;ala.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Storo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via S Floriano, 22 38089";STORO;0465/898494;;storo.presidente@fpsm.tn.it;;storo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ala";"Scuola dell'Infanzia di Ala";;Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via De Ferrari, 1 38061";ALA;0464/671113;"0464 674717";ala.presidente@fpsm.tn.it;;ala.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Masi di Cavalese";"Scuola dell'Infanzia di Masi di Cavalese";;Paritaria/equiparata;;;"TIZIANA CEOL";"Via Damiano Chiesa, 79 38033";CAVALESE;"0462 340557";;cavalese.presidente@fpsm.tn.it;;cavalese.segretario@fpsm.tn.it;;
