main institute;institute type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;wikipedia municipality link
scuola dell'infanzia di storo;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via s floriano, 22 38089;storo;0465898494;;storo.presidente@fpsm.tn.it;;storo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30155;https://it.wikipedia.org/wiki/Storo
scuola dell'infanzia di strigno;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';piazza iv novembre - strigno, 11 38059;castel ivano;0461762327;;strigno.presidente@fpsm.tn.it;;strigno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30157;https://it.wikipedia.org/wiki/Castel_Ivano_(comune)
scuola dell'infanzia di susà;scuola dell'infanzia;paritaria/equiparata;;;mariangela simoncini;via dell asilo, 5 38057;pergine valsugana;0461538471;;susa.presidente@fpsm.tn.it;;susa.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30159;https://it.wikipedia.org/wiki/Pergine_Valsugana
"scuola dell'infanzia di taio ""asilo infantile di taio odv""";scuola dell'infanzia;paritaria/equiparata;;;ute pancher;via edison - taio, 3 38012;predaia;0463468269;;taio.presidente@fpsm.tn.it;;taio.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30161;https://it.wikipedia.org/wiki/Predaia
scuola dell'infanzia di telve;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;via paradiso, 1 38050;telve;0461766315;;telve.presidente@fpsm.tn.it;;telve.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30163;https://it.wikipedia.org/wiki/Telve
scuola dell'infanzia di tenno;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;via brocchetti, 53 38060;tenno;0464503034;;tenno.presidente@fpsm.tn.it;;tenno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30165;https://it.wikipedia.org/wiki/Tenno
scuola dell'infanzia di tesero;scuola dell'infanzia;paritaria/equiparata;;;tiziana ceol;via fia, 20 38038;tesero;0462813045;;tesero.presidente@fpsm.tn.it;;tesero.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30167;https://it.wikipedia.org/wiki/Tesero
scuola dell'infanzia di tezze valsugana;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via marconi, 8/a 38055;grigno;0461769192;;tezze.presidente@fpsm.tn.it;;tezze.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30169;https://it.wikipedia.org/wiki/Grigno
"scuola dell'infanzia di tione di trento ""don giovanni failoni odv""";scuola dell'infanzia;paritaria/equiparata;;;;piazza battisti, 4 38079;tione di trento;0461321314;0461/329714;tione.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/61887;https://it.wikipedia.org/wiki/Tione_di_Trento
scuola dell'infanzia di tonadico;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via fuganti - tonadico, 8 38054;primiero san martino di castrozza;0439762062;;tonadico.segretario@fpsm.tn.it;;tonadico.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30171;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza
scuola dell'infanzia di torbole;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;via don davide gioppi, 72 38069;nago-torbole;0464505159;;torbole.presidente@fpsm.tn.it;;torbole.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30173;https://it.wikipedia.org/wiki/Nago-Torbole
scuola dell'infanzia di torcegno odv;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;via della fontana, 15 38050;torcegno;0461760796;;torcegno.presidente@fpsm.tn.it;;torcegno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30175;https://it.wikipedia.org/wiki/Torcegno
scuola dell'infanzia di transacqua;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';piazza municipio - transacqua, 11 38054;primiero san martino di castrozza;043962313;;transacqua.presidente@fpsm.tn.it;;transacqua.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30177;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza
"scuola dell'infanzia di trento  ""pedrotti""";scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;via asilo pedrotti, 2 38122;trento;0461914039;;trento.pedrotti.presidente@fpsm.tn.it;;trento.pedrotti.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30181;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di trento  canossiane;scuola dell'infanzia;paritaria/equiparata;;;ivana leonardelli;via dei paradisi, 4 38122;trento;0461231775;;trento.canossiane.segretario@fpsm.tn.it;;trento.canossiane.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30185;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di trento  s. bartolomeo;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;viale dei tigli, 9/1 38123;trento;0461924555;;trento.s.bartolomeo.segretario@fpsm.tn.it;;trento.s.bartolomeo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30187;https://it.wikipedia.org/wiki/Trento
"scuola dell'infanzia di trento ""antonio tambosi odv""";scuola dell'infanzia;paritaria/equiparata;;;;via francesco ferruccio, 4 38122;trento;0461237392;0461-237392;scuolamaterna.tambosi@gmail.com;;;;;https://www.vivoscuola.it/content/view/full/30179;https://it.wikipedia.org/wiki/Trento
"scuola dell'infanzia di trento ""g. b. zanella odv""";scuola dell'infanzia;paritaria/equiparata;;;alessandra bianchi;via gar, 1 38122;trento;0461233744;0461-233744;segreteria@gbzanella.it;;;;;https://www.vivoscuola.it/content/view/full/30189;https://it.wikipedia.org/wiki/Trento
"scuola dell'infanzia di trento ""s. antonio odv""";scuola dell'infanzia;paritaria/equiparata;;;;via adamello, 2 38122;trento;0461911027;0461/394133;s.antonio.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/30191;https://it.wikipedia.org/wiki/Trento
"scuola dell'infanzia di trento ""sacro cuore odv""";scuola dell'infanzia;paritaria/equiparata;;;sara tonazzoli;piazza s teresa verzeri, 4 38122;trento;0461981465;;materna@istitutosacrocuore.it;;;;;https://www.vivoscuola.it/content/view/full/92009;https://it.wikipedia.org/wiki/Trento
"scuola dell'infanzia di trento cognola  ""b. kofler""";scuola dell'infanzia;paritaria/equiparata;;;ivana leonardelli;via kofler, 10 38121;trento;0461235069;0461 983903;cognola.segretario@fpsm.tn.it;;cognola.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30193;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di trento la clarina;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;via einaudi, 66 38123;trento;0461923464;;trento.clarina.presidente@fpsm.tn.it;;trento.clarina.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30195;https://it.wikipedia.org/wiki/Trento
"scuola dell'infanzia di trento san donà ""b. kofler""";scuola dell'infanzia;paritaria/equiparata;;;ivana leonardelli;via per cognola, 43 38122;trento;0461260977;0461 983903;cognola.segretario@fpsm.tn.it;;trento.san.dona.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30197;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di tuenno;scuola dell'infanzia;paritaria/equiparata;;;ute pancher;via marconi - tuenno, 2 38019;ville d'anaunia;0463451238;;tuenno.segretario@fpsm.tn.it;;tuenno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30199;https://it.wikipedia.org/wiki/Ville_d%27Anaunia
scuola dell'infanzia di varone;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;via sega, 5 38066;riva del garda;0464521350;;varone.presidente@fpsm.tn.it;;varone.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30201;https://it.wikipedia.org/wiki/Riva_del_Garda
scuola dell'infanzia di vermiglio;scuola dell'infanzia;paritaria/equiparata;;;roberta bertolas;via di s pietro, 26 38029;vermiglio;0463758141;;vermiglio.presidente@fpsm.tn.it;;vermiglio.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30203;https://it.wikipedia.org/wiki/Vermiglio_(Italia)
scuola dell'infanzia di vezzano;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;via dante - vezzano, 24 38070;vallelaghi;0461864918;;vezzano.presidente@fpsm.tn.it;;vezzano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30205;https://it.wikipedia.org/wiki/Vallelaghi
scuola dell'infanzia di vigo cavedine;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;via scuola materna, 1 38073;cavedine;0461566061;;vigo.cavedine.presidente@fpsm.tn.it;;vigo.cavedine.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30207;https://it.wikipedia.org/wiki/Cavedine
scuola dell'infanzia di vigo cortesano;scuola dell'infanzia;paritaria/equiparata;;;carmen fattori;via madonna dei prati, 3 38121;trento;0461448252;;vigo.meano.presidente@fpsm.tn.it;;vigo.meano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30209;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di vigo di fassa;scuola dell'infanzia;paritaria/equiparata;;;sara de zolt;strada giuseppe soraperra - pozza di fassa, 4 38036;san giovanni di fassa;0462763194;;vigo.fassa.presidente@fpsm.tn.it;;vigo.fassa.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30213;https://it.wikipedia.org/wiki/San_Giovanni_di_Fassa
scuola dell'infanzia di vigo di ton;scuola dell'infanzia;paritaria/equiparata;;;elena ricci;piazza guardi, 7 38010;ton;0461657897;;vigo.ton.segretario@fpsm.tn.it;;vigo.ton.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30215;https://it.wikipedia.org/wiki/Ton
scuola dell'infanzia di vigo lomaso;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;frazione vigo lomaso - lomaso, 1 38070;comano terme;0465701249;;vigo.lomaso.presidente@fpsm.tn.it;;vigo.lomaso.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30211;https://it.wikipedia.org/wiki/Comano_Terme
scuola dell'infanzia di villa lagarina;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;via monsignor gosetti, 3 38060;villa lagarina;0464411101;;villalagarina.presidente@fpsm.tn.it;;villalagarina.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30217;https://it.wikipedia.org/wiki/Villa_Lagarina
scuola dell'infanzia di villamontagna;scuola dell'infanzia;paritaria/equiparata;;;carmen fattori;via dei carli, 16 38121;trento;0461209045;;villamontagna.segretario@fpsm.tn.it;;villamontagna.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30219;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di villazzano;scuola dell'infanzia;paritaria/equiparata;;;ivana leonardelli;via giordano, 15 38123;trento;0461920382;;villazzano.segretario@fpsm.tn.it;;villazzano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30221;https://it.wikipedia.org/wiki/Trento
scuola dell'infanzia di volano;scuola dell'infanzia;paritaria/equiparata;;;silvano medves;via s maria, 13 38060;volano;0464411516;;volano.segretario@fpsm.tn.it;;volano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30223;https://it.wikipedia.org/wiki/Volano_(Italia)
scuola dell'infanzia di ziano di fiemme;scuola dell'infanzia;paritaria/equiparata;;;sara de zolt;piazza italia, 8 38030;ziano di fiemme;3703621992;;ziano.presidente@fpsm.tn.it;;ziano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/30225;https://it.wikipedia.org/wiki/Ziano_di_Fiemme
scuola ladina di fassa - scola ladina de fascia;istituzione scolastica e formativa;a carattere statale/provinciale;federico corradini;;;strada giuseppe soraperra - pozza di fassa, 6 38036;san giovanni di fassa;0462763702;0462/760001;scuolaladinadifassa@pec.provincia.tn.it;dir.scuolaladinadifassa@scuole.provincia.tn.it;segr.scuolaladinadifassa@scuole.provincia.tn.it;https://www.scuolaladina.com/;tnic85000q;https://www.vivoscuola.it/content/view/full/29907;https://it.wikipedia.org/wiki/San_Giovanni_di_Fassa
scuola paritaria la vela - fondazione famiglia materna - rovereto;istituzione scolastica e formativa;paritaria/equiparata;stefania nicolli;;;via saibanti, 6 38068;rovereto;0464434047;;segreteria@lavela.famigliamaterna.it;direzione@lavela.famigliamaterna.it;segreteria@scuolalavela.it;https://www.scuolalavela.it;;https://www.vivoscuola.it/content/view/full/29241;https://it.wikipedia.org/wiki/Rovereto
"societa' cooperativa a r.l. ""i. de carneri"" oxford civezzano";istituzione scolastica e formativa;paritaria/equiparata;giovanni scalfi;claudio march;;via murialdo, 30 38045;civezzano;0461857003;0461/857284;oxford@pec.cooperazionetrentina.it;;info@istitutodecarneri.it;https://www.istitutodecarneri.it;;https://www.vivoscuola.it/content/view/full/29918;https://it.wikipedia.org/wiki/Civezzano
